FIPS_CODE,REGION,DIVISION,ST_NAME,CTY_NAME,Year,Population
01001,3,6,Alabama,Autauga County,2000,44021
01003,3,6,Alabama,Baldwin County,2000,141342
01005,3,6,Alabama,Barbour County,2000,29015
01007,3,6,Alabama,Bibb County,2000,19913
01009,3,6,Alabama,Blount County,2000,51107
01011,3,6,Alabama,Bullock County,2000,11581
01013,3,6,Alabama,Butler County,2000,21325
01015,3,6,Alabama,Calhoun County,2000,111081
01017,3,6,Alabama,Chambers County,2000,36571
01019,3,6,Alabama,Cherokee County,2000,24006
01021,3,6,Alabama,Chilton County,2000,39897
01023,3,6,Alabama,Choctaw County,2000,15875
01025,3,6,Alabama,Clarke County,2000,27819
01027,3,6,Alabama,Clay County,2000,14263
01029,3,6,Alabama,Cleburne County,2000,14172
01031,3,6,Alabama,Coffee County,2000,43580
01033,3,6,Alabama,Colbert County,2000,54997
01035,3,6,Alabama,Conecuh County,2000,14035
01037,3,6,Alabama,Coosa County,2000,11844
01039,3,6,Alabama,Covington County,2000,37514
01041,3,6,Alabama,Crenshaw County,2000,13692
01043,3,6,Alabama,Cullman County,2000,77473
01045,3,6,Alabama,Dale County,2000,49124
01047,3,6,Alabama,Dallas County,2000,46198
01049,3,6,Alabama,DeKalb County,2000,64650
01051,3,6,Alabama,Elmore County,2000,66160
01053,3,6,Alabama,Escambia County,2000,38325
01055,3,6,Alabama,Etowah County,2000,103286
01057,3,6,Alabama,Fayette County,2000,18512
01059,3,6,Alabama,Franklin County,2000,31242
01061,3,6,Alabama,Geneva County,2000,25740
01063,3,6,Alabama,Greene County,2000,9902
01065,3,6,Alabama,Hale County,2000,18194
01067,3,6,Alabama,Henry County,2000,16341
01069,3,6,Alabama,Houston County,2000,88943
01071,3,6,Alabama,Jackson County,2000,53979
01073,3,6,Alabama,Jefferson County,2000,662033
01075,3,6,Alabama,Lamar County,2000,15923
01077,3,6,Alabama,Lauderdale County,2000,88039
01079,3,6,Alabama,Lawrence County,2000,34874
01081,3,6,Alabama,Lee County,2000,115430
01083,3,6,Alabama,Limestone County,2000,65966
01085,3,6,Alabama,Lowndes County,2000,13471
01087,3,6,Alabama,Macon County,2000,24047
01089,3,6,Alabama,Madison County,2000,278006
01091,3,6,Alabama,Marengo County,2000,22564
01093,3,6,Alabama,Marion County,2000,31137
01095,3,6,Alabama,Marshall County,2000,82429
01097,3,6,Alabama,Mobile County,2000,400073
01099,3,6,Alabama,Monroe County,2000,24319
01101,3,6,Alabama,Montgomery County,2000,223428
01103,3,6,Alabama,Morgan County,2000,111221
01105,3,6,Alabama,Perry County,2000,11809
01107,3,6,Alabama,Pickens County,2000,20881
01109,3,6,Alabama,Pike County,2000,29748
01111,3,6,Alabama,Randolph County,2000,22377
01113,3,6,Alabama,Russell County,2000,49805
01115,3,6,Alabama,St. Clair County,2000,65080
01117,3,6,Alabama,Shelby County,2000,144674
01119,3,6,Alabama,Sumter County,2000,14746
01121,3,6,Alabama,Talladega County,2000,80772
01123,3,6,Alabama,Tallapoosa County,2000,41689
01125,3,6,Alabama,Tuscaloosa County,2000,165414
01127,3,6,Alabama,Walker County,2000,70602
01129,3,6,Alabama,Washington County,2000,18101
01131,3,6,Alabama,Wilcox County,2000,12939
01133,3,6,Alabama,Winston County,2000,24857
04001,4,8,Arizona,Apache County,2000,69507
04003,4,8,Arizona,Cochise County,2000,118132
04005,4,8,Arizona,Coconino County,2000,116773
04007,4,8,Arizona,Gila County,2000,51332
04009,4,8,Arizona,Graham County,2000,33511
04011,4,8,Arizona,Greenlee County,2000,8547
04012,4,8,Arizona,La Paz County,2000,19611
04013,4,8,Arizona,Maricopa County,2000,3092197
04015,4,8,Arizona,Mohave County,2000,156215
04017,4,8,Arizona,Navajo County,2000,97689
04019,4,8,Arizona,Pima County,2000,848019
04021,4,8,Arizona,Pinal County,2000,181280
04023,4,8,Arizona,Santa Cruz County,2000,38589
04025,4,8,Arizona,Yavapai County,2000,168608
04027,4,8,Arizona,Yuma County,2000,160576
05001,3,7,Arkansas,Arkansas County,2000,20776
05003,3,7,Arkansas,Ashley County,2000,24179
05005,3,7,Arkansas,Baxter County,2000,38446
05007,3,7,Arkansas,Benton County,2000,154744
05009,3,7,Arkansas,Boone County,2000,34051
05011,3,7,Arkansas,Bradley County,2000,12597
05013,3,7,Arkansas,Calhoun County,2000,5709
05015,3,7,Arkansas,Carroll County,2000,25369
05017,3,7,Arkansas,Chicot County,2000,14062
05019,3,7,Arkansas,Clark County,2000,23474
05021,3,7,Arkansas,Clay County,2000,17537
05023,3,7,Arkansas,Cleburne County,2000,24100
05025,3,7,Arkansas,Cleveland County,2000,8536
05027,3,7,Arkansas,Columbia County,2000,25599
05029,3,7,Arkansas,Conway County,2000,20312
05031,3,7,Arkansas,Craighead County,2000,82519
05033,3,7,Arkansas,Crawford County,2000,53404
05035,3,7,Arkansas,Crittenden County,2000,50915
05037,3,7,Arkansas,Cross County,2000,19458
05039,3,7,Arkansas,Dallas County,2000,9146
05041,3,7,Arkansas,Desha County,2000,15302
05043,3,7,Arkansas,Drew County,2000,18670
05045,3,7,Arkansas,Faulkner County,2000,86501
05047,3,7,Arkansas,Franklin County,2000,17737
05049,3,7,Arkansas,Fulton County,2000,11656
05051,3,7,Arkansas,Garland County,2000,88311
05053,3,7,Arkansas,Grant County,2000,16476
05055,3,7,Arkansas,Greene County,2000,37563
05057,3,7,Arkansas,Hempstead County,2000,23620
05059,3,7,Arkansas,Hot Spring County,2000,30480
05061,3,7,Arkansas,Howard County,2000,14233
05063,3,7,Arkansas,Independence County,2000,34333
05065,3,7,Arkansas,Izard County,2000,13298
05067,3,7,Arkansas,Jackson County,2000,18403
05069,3,7,Arkansas,Jefferson County,2000,84171
05071,3,7,Arkansas,Johnson County,2000,22813
05073,3,7,Arkansas,Lafayette County,2000,8539
05075,3,7,Arkansas,Lawrence County,2000,17672
05077,3,7,Arkansas,Lee County,2000,12527
05079,3,7,Arkansas,Lincoln County,2000,14477
05081,3,7,Arkansas,Little River County,2000,13613
05083,3,7,Arkansas,Logan County,2000,22500
05085,3,7,Arkansas,Lonoke County,2000,53153
05087,3,7,Arkansas,Madison County,2000,14272
05089,3,7,Arkansas,Marion County,2000,16162
05091,3,7,Arkansas,Miller County,2000,40436
05093,3,7,Arkansas,Mississippi County,2000,51849
05095,3,7,Arkansas,Monroe County,2000,10182
05097,3,7,Arkansas,Montgomery County,2000,9263
05099,3,7,Arkansas,Nevada County,2000,9895
05101,3,7,Arkansas,Newton County,2000,8642
05103,3,7,Arkansas,Ouachita County,2000,28677
05105,3,7,Arkansas,Perry County,2000,10223
05107,3,7,Arkansas,Phillips County,2000,26290
05109,3,7,Arkansas,Pike County,2000,11332
05111,3,7,Arkansas,Poinsett County,2000,25617
05113,3,7,Arkansas,Polk County,2000,20268
05115,3,7,Arkansas,Pope County,2000,54541
05117,3,7,Arkansas,Prairie County,2000,9491
05119,3,7,Arkansas,Pulaski County,2000,361876
05121,3,7,Arkansas,Randolph County,2000,18155
05123,3,7,Arkansas,St. Francis County,2000,29325
05125,3,7,Arkansas,Saline County,2000,84084
05127,3,7,Arkansas,Scott County,2000,10980
05129,3,7,Arkansas,Searcy County,2000,8246
05131,3,7,Arkansas,Sebastian County,2000,115578
05133,3,7,Arkansas,Sevier County,2000,15747
05135,3,7,Arkansas,Sharp County,2000,17138
05137,3,7,Arkansas,Stone County,2000,11519
05139,3,7,Arkansas,Union County,2000,45532
05141,3,7,Arkansas,Van Buren County,2000,16221
05143,3,7,Arkansas,Washington County,2000,158851
05145,3,7,Arkansas,White County,2000,67382
05147,3,7,Arkansas,Woodruff County,2000,8686
05149,3,7,Arkansas,Yell County,2000,21147
06001,4,9,California,Alameda County,2000,1449840
06003,4,9,California,Alpine County,2000,1209
06005,4,9,California,Amador County,2000,35153
06007,4,9,California,Butte County,2000,203807
06009,4,9,California,Calaveras County,2000,40645
06011,4,9,California,Colusa County,2000,18817
06013,4,9,California,Contra Costa County,2000,952810
06015,4,9,California,Del Norte County,2000,27440
06017,4,9,California,El Dorado County,2000,157162
06019,4,9,California,Fresno County,2000,801288
06021,4,9,California,Glenn County,2000,26416
06023,4,9,California,Humboldt County,2000,126462
06025,4,9,California,Imperial County,2000,142410
06027,4,9,California,Inyo County,2000,17955
06029,4,9,California,Kern County,2000,663803
06031,4,9,California,Kings County,2000,129835
06033,4,9,California,Lake County,2000,58538
06035,4,9,California,Lassen County,2000,33719
06037,4,9,California,Los Angeles County,2000,9538191
06039,4,9,California,Madera County,2000,123587
06041,4,9,California,Marin County,2000,247520
06043,4,9,California,Mariposa County,2000,17101
06045,4,9,California,Mendocino County,2000,86407
06047,4,9,California,Merced County,2000,212258
06049,4,9,California,Modoc County,2000,9406
06051,4,9,California,Mono County,2000,12921
06053,4,9,California,Monterey County,2000,402990
06055,4,9,California,Napa County,2000,124565
06057,4,9,California,Nevada County,2000,92520
06059,4,9,California,Orange County,2000,2854513
06061,4,9,California,Placer County,2000,251012
06063,4,9,California,Plumas County,2000,20754
06065,4,9,California,Riverside County,2000,1558985
06067,4,9,California,Sacramento County,2000,1229940
06069,4,9,California,San Benito County,2000,53781
06071,4,9,California,San Bernardino County,2000,1718037
06073,4,9,California,San Diego County,2000,2827366
06075,4,9,California,San Francisco County,2000,777885
06077,4,9,California,San Joaquin County,2000,567885
06079,4,9,California,San Luis Obispo County,2000,247839
06081,4,9,California,San Mateo County,2000,707820
06083,4,9,California,Santa Barbara County,2000,399990
06085,4,9,California,Santa Clara County,2000,1684947
06087,4,9,California,Santa Cruz County,2000,255835
