County,State,County Code,Year,Deaths
Baldwin County, AL,01003,2003,10
Jefferson County, AL,01073,2003,37
Mobile County, AL,01097,2003,26
Anchorage Borough, AK,02020,2003,31
Matanuska-Susitna Borough, AK,02170,2003,11
Cochise County, AZ,04003,2003,11
Coconino County, AZ,04005,2003,11
Maricopa County, AZ,04013,2003,273
Mohave County, AZ,04015,2003,11
Pima County, AZ,04019,2003,145
Pinal County, AZ,04021,2003,18
Yavapai County, AZ,04025,2003,15
Alameda County, CA,06001,2003,96
Butte County, CA,06007,2003,40
Contra Costa County, CA,06013,2003,53
Fresno County, CA,06019,2003,66
Humboldt County, CA,06023,2003,38
Kern County, CA,06029,2003,79
Los Angeles County, CA,06037,2003,616
Madera County, CA,06039,2003,14
Mendocino County, CA,06045,2003,15
Merced County, CA,06047,2003,18
Monterey County, CA,06053,2003,29
Napa County, CA,06055,2003,13
Orange County, CA,06059,2003,152
Placer County, CA,06061,2003,28
Riverside County, CA,06065,2003,128
Sacramento County, CA,06067,2003,111
San Bernardino County, CA,06071,2003,40
San Diego County, CA,06073,2003,222
San Francisco County, CA,06075,2003,91
San Joaquin County, CA,06077,2003,45
San Luis Obispo County, CA,06079,2003,10
San Mateo County, CA,06081,2003,41
Santa Barbara County, CA,06083,2003,32
Santa Clara County, CA,06085,2003,55
Santa Cruz County, CA,06087,2003,11
Shasta County, CA,06089,2003,31
Solano County, CA,06095,2003,29
Sonoma County, CA,06097,2003,42
Stanislaus County, CA,06099,2003,67
Tulare County, CA,06107,2003,31
Ventura County, CA,06111,2003,73
Adams County, CO,08001,2003,32
Arapahoe County, CO,08005,2003,33
Boulder County, CO,08013,2003,20
Denver County, CO,08031,2003,97
El Paso County, CO,08041,2003,33
Jefferson County, CO,08059,2003,23
Larimer County, CO,08069,2003,13
Weld County, CO,08123,2003,11
Fairfield County, CT,09001,2003,53
Hartford County, CT,09003,2003,65
Litchfield County, CT,09005,2003,12
New Haven County, CT,09009,2003,70
New London County, CT,09011,2003,18
Windham County, CT,09015,2003,14
Kent County, DE,10001,2003,10
New Castle County, DE,10003,2003,41
District of Columbia, DC,11001,2003,90
Alachua County, FL,12001,2003,11
Bay County, FL,12005,2003,21
Brevard County, FL,12009,2003,83
Broward County, FL,12011,2003,170
Citrus County, FL,12017,2003,16
Clay County, FL,12019,2003,16
Collier County, FL,12021,2003,29
Duval County, FL,12031,2003,107
Escambia County, FL,12033,2003,27
Hernando County, FL,12053,2003,15
Highlands County, FL,12055,2003,10
Hillsborough County, FL,12057,2003,114
Indian River County, FL,12061,2003,10
Lake County, FL,12069,2003,17
Lee County, FL,12071,2003,61
Leon County, FL,12073,2003,11
Manatee County, FL,12081,2003,42
Marion County, FL,12083,2003,33
Martin County, FL,12085,2003,15
Miami-Dade County, FL,12086,2003,82
Monroe County, FL,12087,2003,17
Okaloosa County, FL,12091,2003,20
Orange County, FL,12095,2003,83
Osceola County, FL,12097,2003,12
Palm Beach County, FL,12099,2003,175
Pasco County, FL,12101,2003,52
Pinellas County, FL,12103,2003,112
Polk County, FL,12105,2003,42
St. Lucie County, FL,12111,2003,21
Santa Rosa County, FL,12113,2003,21
Sarasota County, FL,12115,2003,50
Seminole County, FL,12117,2003,33
Volusia County, FL,12127,2003,48
Bibb County, GA,13021,2003,13
Cherokee County, GA,13057,2003,13
Clayton County, GA,13063,2003,18
Cobb County, GA,13067,2003,34
DeKalb County, GA,13089,2003,25
