FIPS_CODE,REGION,DIVISION,ST_NAME,CTY_NAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
01001,3,6,Alabama,Autauga County,44021,44889,45909,46800,48366,49676,51328,52405,53277,54773,55227,54954,54727,54893,54864,55243,55390,55533
01003,3,6,Alabama,Baldwin County,141342,144875,147957,151509,156266,162183,168121,172404,175827,183112,186558,190145,194885,199183,202939,207601,212521,217855
01005,3,6,Alabama,Barbour County,29015,28863,28653,28594,28287,28027,27861,27757,27808,27327,27341,27169,26937,26755,26283,25806,25157,24872
01007,3,6,Alabama,Bibb County,19913,21028,21199,21399,21721,22042,22099,22438,22705,22870,22745,22667,22521,22553,22566,22586,22550,22367
01009,3,6,Alabama,Blount County,51107,51845,52551,53457,54124,54624,55485,56240,57055,57376,57560,57580,57619,57526,57526,57494,57787,57771
01011,3,6,Alabama,Bullock County,11581,11358,11256,11316,11056,11011,10776,11011,10953,10876,10675,10606,10549,10663,10400,10389,10176,10174
01013,3,6,Alabama,Butler County,21325,21139,20803,20833,20870,20830,20815,20894,20949,20932,20866,20670,20356,20327,20162,20012,19888,19631
01015,3,6,Alabama,Calhoun County,111081,111266,111625,112705,113462,114477,115388,116211,117274,118408,117744,117190,116471,115917,115469,114973,114710,114331
01017,3,6,Alabama,Chambers County,36571,36274,35965,35680,35463,35279,34945,34847,34563,34122,34033,34104,34139,33977,33996,33745,33707,33600
01019,3,6,Alabama,Cherokee County,24006,24182,24403,24591,24887,25031,25466,25553,25636,25963,25989,25958,26017,25895,25732,25768,25805,26014
01021,3,6,Alabama,Chilton County,39897,40197,40683,41079,41534,41946,42318,42881,43239,43653,43689,43582,43628,43760,43700,43866,44120,44163
01023,3,6,Alabama,Choctaw County,15875,15677,15367,15199,14930,14545,14431,14216,14114,13849,13609,13563,13397,13317,13231,13045,12925,12833
01025,3,6,Alabama,Clarke County,27819,27624,27267,27090,26958,26764,26755,26436,26283,25766,25587,25155,25123,24864,24698,24340,24063,23918
01027,3,6,Alabama,Clay County,14263,14298,14257,14203,14121,14077,14053,14085,14161,13898,13687,13434,13404,13441,13415,13393,13350,13294
01029,3,6,Alabama,Cleburne County,14172,14222,14416,14438,14339,14368,14538,14799,14874,15004,14928,14889,14976,15026,14914,14848,14899,15010
01031,3,6,Alabama,Coffee County,43580,43716,43930,44315,45053,45604,46228,47458,48516,50208,50444,51141,50681,50657,50963,51202,51853,51950
01033,3,6,Alabama,Colbert County,54997,54793,54536,54279,54380,54359,54413,54486,54473,54524,54539,54570,54529,54462,54417,54497,54695,55004
01035,3,6,Alabama,Conecuh County,14035,13940,13793,13585,13430,13421,13603,13441,13388,13236,13195,13046,12912,12677,12678,12500,12431,12292
01037,3,6,Alabama,Coosa County,11844,11848,11740,11732,11560,11467,11451,11439,11493,11780,11486,11346,11254,11037,10934,10819,10724,10643
01039,3,6,Alabama,Covington County,37514,37069,36901,36860,36806,37204,37441,37631,37545,37809,38020,37805,37814,37760,37556,37382,37062,36953
01041,3,6,Alabama,Crenshaw County,13692,13724,13635,13652,13727,13699,13880,13956,13922,13869,13894,13915,13847,13851,13850,13916,13858,13825
01043,3,6,Alabama,Cullman County,77473,77415,77443,77657,78131,78692,79044,79576,80273,80456,80410,80279,80690,81068,81761,82450,82867,83418
01045,3,6,Alabama,Dale County,49124,49254,49373,49215,49245,49050,49077,49488,49871,50394,50122,50289,49771,49414,49365,49362,49342,49143
01047,3,6,Alabama,Dallas County,46198,46132,45377,45170,44795,44434,44323,44194,44265,43854,43251,42789,41976,41554,40936,40080,39238,38294
01049,3,6,Alabama,DeKalb County,64650,65678,65861,66530,67260,67794,68495,69450,70228,71163,71365,70944,70912,70993,71087,71104,71437,71407
